,PS_filename,PS_Date,S2_filename,S2_Date,band,perc_valid,m,b
92,I5_20170704_1042_analytic_mosaic.tif,2017-07-04,20170703T101021_S2A_MSIL2A_20170703T101041_W022_10m_S2.tif,2017-07-03,0.0,0.8864644970414202,2.4504329008656048e-05,-0.06843130485427472
93,I5_20170704_1042_analytic_mosaic.tif,2017-07-04,20170703T101021_S2A_MSIL2A_20170703T101041_W022_10m_S2.tif,2017-07-03,1.0,0.8864644970414202,2.7376165248759138e-05,-0.06179923980408052
94,I5_20170704_1042_analytic_mosaic.tif,2017-07-04,20170703T101021_S2A_MSIL2A_20170703T101041_W022_10m_S2.tif,2017-07-03,2.0,0.8864644970414202,3.2908401633550444e-05,-0.06844221851052658
95,I5_20170704_1042_analytic_mosaic.tif,2017-07-04,20170703T101021_S2A_MSIL2A_20170703T101041_W022_10m_S2.tif,2017-07-03,3.0,0.8864644970414202,3.53655982708219e-05,0.02295699837829053
96,I5_20170705_0f10_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,0.0,0.8846153846153846,2.6468211016830143e-05,-0.04857920194627558
97,I5_20170705_0f10_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,1.0,0.8846153846153846,2.9078030682752246e-05,-0.04759440266278187
98,I5_20170705_0f10_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,2.0,0.8846153846153846,3.6392972179210114e-05,-0.06637690987261143
99,I5_20170705_0f10_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,3.0,0.8846153846153846,4.388177258361139e-05,-0.019179374828675065
100,I5_20170705_0f25_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,0.0,0.6797337278106509,3.140434499542263e-05,-0.06524812178041078
101,I5_20170705_0f25_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,1.0,0.6797337278106509,3.416375551013105e-05,-0.060539647349853794
102,I5_20170705_0f25_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,2.0,0.6797337278106509,4.199976144838817e-05,-0.07517063736271255
103,I5_20170705_0f25_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,3.0,0.6797337278106509,4.8421034932163495e-05,-0.02966048425477885
104,I5_20170705_0e20_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,0.0,0.8875739644970414,2.4753883056813207e-05,-0.034590878508342686
105,I5_20170705_0e20_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,1.0,0.8875739644970414,2.7957442924953273e-05,-0.03847570947540688
106,I5_20170705_0e20_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,2.0,0.8875739644970414,3.5409621979581126e-05,-0.05732248202563978
107,I5_20170705_0e20_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,3.0,0.8875739644970414,4.4698128081707707e-05,-0.006025542197117213
108,I5_20170709_0f4e_analytic_mosaic.tif,2017-07-09,20170708T101029_S2B_MSIL2A_20170708T101125_W022_10m_S2.tif,2017-07-08,0.0,0.6490384615384616,-2.8742408536841945e-06,0.09437051978458341
109,I5_20170709_0f4e_analytic_mosaic.tif,2017-07-09,20170708T101029_S2B_MSIL2A_20170708T101125_W022_10m_S2.tif,2017-07-08,1.0,0.6490384615384616,-3.0556719513116935e-06,0.09701413170752533
110,I5_20170709_0f4e_analytic_mosaic.tif,2017-07-09,20170708T101029_S2B_MSIL2A_20170708T101125_W022_10m_S2.tif,2017-07-08,2.0,0.6490384615384616,-3.3361429459686253e-06,0.07789724834117637
111,I5_20170709_0f4e_analytic_mosaic.tif,2017-07-09,20170708T101029_S2B_MSIL2A_20170708T101125_W022_10m_S2.tif,2017-07-08,3.0,0.6490384615384616,-1.8709412165068423e-07,0.285191487209054
112,I5_20170709_1040_analytic_mosaic.tif,2017-07-09,20170710T100031_S2A_MSIL2A_20170710T100540_C122_10m_S2.tif,2017-07-10,0.0,0.8857248520710059,2.1516494276162058e-05,-0.02650872283892956
113,I5_20170709_1040_analytic_mosaic.tif,2017-07-09,20170710T100031_S2A_MSIL2A_20170710T100540_C122_10m_S2.tif,2017-07-10,1.0,0.8857248520710059,2.407880539243325e-05,-0.020336384786245207
114,I5_20170709_1040_analytic_mosaic.tif,2017-07-09,20170710T100031_S2A_MSIL2A_20170710T100540_C122_10m_S2.tif,2017-07-10,2.0,0.8857248520710059,3.0453811885923987e-05,-0.03587872451248214
115,I5_20170709_1040_analytic_mosaic.tif,2017-07-09,20170710T100031_S2A_MSIL2A_20170710T100540_C122_10m_S2.tif,2017-07-10,3.0,0.8857248520710059,3.399654588398255e-05,0.06350557254417417
116,I5_20170715_1014_analytic_mosaic.tif,2017-07-15,20170715T100029_S2B_MSIL2A_20170715T100026_C122_10m_S2.tif,2017-07-15,0.0,0.9548816568047337,2.192847105983537e-05,-0.015591857041443382
117,I5_20170715_1014_analytic_mosaic.tif,2017-07-15,20170715T100029_S2B_MSIL2A_20170715T100026_C122_10m_S2.tif,2017-07-15,1.0,0.9548816568047337,2.2420877693166395e-05,-0.00318583461572587
118,I5_20170715_1014_analytic_mosaic.tif,2017-07-15,20170715T100029_S2B_MSIL2A_20170715T100026_C122_10m_S2.tif,2017-07-15,2.0,0.9548816568047337,2.7273222978778163e-05,-0.01469486010379358
119,I5_20170715_1014_analytic_mosaic.tif,2017-07-15,20170715T100029_S2B_MSIL2A_20170715T100026_C122_10m_S2.tif,2017-07-15,3.0,0.9548816568047337,3.484043086796277e-05,0.07799665935854366
120,I5_20170719_0f43_analytic_mosaic.tif,2017-07-19,20170718T101029_S2B_MSIL2A_20170718T101346_W022_10m_S2.tif,2017-07-18,0.0,0.8428254437869822,2.9072113492524734e-05,-0.07065623937895642
121,I5_20170719_0f43_analytic_mosaic.tif,2017-07-19,20170718T101029_S2B_MSIL2A_20170718T101346_W022_10m_S2.tif,2017-07-18,1.0,0.8428254437869822,3.1138935007294875e-05,-0.06497577828789716
122,I5_20170719_0f43_analytic_mosaic.tif,2017-07-19,20170718T101029_S2B_MSIL2A_20170718T101346_W022_10m_S2.tif,2017-07-18,2.0,0.8428254437869822,3.6867617072487235e-05,-0.07213032367211203
123,I5_20170719_0f43_analytic_mosaic.tif,2017-07-19,20170718T101029_S2B_MSIL2A_20170718T101346_W022_10m_S2.tif,2017-07-18,3.0,0.8428254437869822,4.4986241828805176e-05,-0.042601569741332286
124,I5_20170720_0f1b_analytic_mosaic.tif,2017-07-20,20170720T100031_S2A_MSIL2A_20170720T100027_C122_10m_S2.tif,2017-07-20,0.0,0.41161242603550297,2.6448527239154677e-06,0.09170587203604344
125,I5_20170720_0f1b_analytic_mosaic.tif,2017-07-20,20170720T100031_S2A_MSIL2A_20170720T100027_C122_10m_S2.tif,2017-07-20,1.0,0.41161242603550297,3.149603101980645e-06,0.09441592056697455
126,I5_20170720_0f1b_analytic_mosaic.tif,2017-07-20,20170720T100031_S2A_MSIL2A_20170720T100027_C122_10m_S2.tif,2017-07-20,2.0,0.41161242603550297,7.2074317114650865e-06,0.06715374181675143
127,I5_20170720_0f1b_analytic_mosaic.tif,2017-07-20,20170720T100031_S2A_MSIL2A_20170720T100027_C122_10m_S2.tif,2017-07-20,3.0,0.41161242603550297,1.203934660801759e-08,0.31058593754789177
128,I5_20170723_1004_analytic_mosaic.tif,2017-07-23,20170723T101031_S2A_MSIL2A_20170723T101029_W022_10m_S2.tif,2017-07-23,0.0,0.8705621301775148,2.7830999668602877e-05,-0.09815418808321899
129,I5_20170723_1004_analytic_mosaic.tif,2017-07-23,20170723T101031_S2A_MSIL2A_20170723T101029_W022_10m_S2.tif,2017-07-23,1.0,0.8705621301775148,3.1149522097935126e-05,-0.08368653482013938
130,I5_20170723_1004_analytic_mosaic.tif,2017-07-23,20170723T101031_S2A_MSIL2A_20170723T101029_W022_10m_S2.tif,2017-07-23,2.0,0.8705621301775148,4.0089558234969116e-05,-0.08798114145363398
131,I5_20170723_1004_analytic_mosaic.tif,2017-07-23,20170723T101031_S2A_MSIL2A_20170723T101029_W022_10m_S2.tif,2017-07-23,3.0,0.8705621301775148,3.275925549215088e-05,0.08098458017969451
132,I5_20170725_101f_analytic_mosaic.tif,2017-07-25,20170725T100029_S2B_MSIL2A_20170725T100536_C122_10m_S2.tif,2017-07-25,0.0,0.7636834319526628,5.840717467036327e-06,0.07807158233606454
133,I5_20170725_101f_analytic_mosaic.tif,2017-07-25,20170725T100029_S2B_MSIL2A_20170725T100536_C122_10m_S2.tif,2017-07-25,1.0,0.7636834319526628,6.110762318382791e-06,0.08532930265745438
134,I5_20170725_101f_analytic_mosaic.tif,2017-07-25,20170725T100029_S2B_MSIL2A_20170725T100536_C122_10m_S2.tif,2017-07-25,2.0,0.7636834319526628,1.1280189261788711e-05,0.06458205844976786
135,I5_20170725_101f_analytic_mosaic.tif,2017-07-25,20170725T100029_S2B_MSIL2A_20170725T100536_C122_10m_S2.tif,2017-07-25,3.0,0.7636834319526628,-4.3053067698873945e-06,0.33562156472893073
136,I5_20170725_0f35_analytic_mosaic.tif,2017-07-25,20170725T100029_S2B_MSIL2A_20170725T100536_C122_10m_S2.tif,2017-07-25,0.0,0.8835059171597633,2.4502296139341345e-05,-0.03750829922468596
137,I5_20170725_0f35_analytic_mosaic.tif,2017-07-25,20170725T100029_S2B_MSIL2A_20170725T100536_C122_10m_S2.tif,2017-07-25,1.0,0.8835059171597633,2.6639713796356457e-05,-0.02927648760416306
138,I5_20170725_0f35_analytic_mosaic.tif,2017-07-25,20170725T100029_S2B_MSIL2A_20170725T100536_C122_10m_S2.tif,2017-07-25,2.0,0.8835059171597633,3.34088383493541e-05,-0.04447195417727467
139,I5_20170725_0f35_analytic_mosaic.tif,2017-07-25,20170725T100029_S2B_MSIL2A_20170725T100536_C122_10m_S2.tif,2017-07-25,3.0,0.8835059171597633,3.8849206472201024e-05,0.036752311407316725
140,I5_20170729_0f22_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,0.0,0.8357988165680473,2.626763713284118e-05,-0.06865711999233588
141,I5_20170729_0f22_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,1.0,0.8357988165680473,2.8928643917592117e-05,-0.0640234089575204
142,I5_20170729_0f22_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,2.0,0.8357988165680473,3.4642215929181875e-05,-0.06887171493774168
143,I5_20170729_0f22_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,3.0,0.8357988165680473,4.31462241602585e-05,-0.02412830795350593
144,I5_20170729_0f3f_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,0.0,0.6830621301775148,-1.7999627459475463e-06,0.07879153522233986
145,I5_20170729_0f3f_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,1.0,0.6830621301775148,-4.845688920828357e-06,0.08694322600775076
146,I5_20170729_0f3f_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,2.0,0.6830621301775148,-1.0775052954036554e-05,0.07594132706682367
147,I5_20170729_0f3f_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,3.0,0.6830621301775148,-1.8961596686284387e-05,0.27885185605074453
148,I5_20170729_1032_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,0.0,0.8398668639053254,2.3044416430583296e-05,-0.05283593732067249
149,I5_20170729_1032_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,1.0,0.8398668639053254,2.5561702926095387e-05,-0.04576988937751543
150,I5_20170729_1032_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,2.0,0.8398668639053254,3.153725207255781e-05,-0.05242393172460267
151,I5_20170729_1032_analytic_mosaic.tif,2017-07-29,20170728T101029_S2B_MSIL2A_20170728T101024_W022_10m_S2.tif,2017-07-28,3.0,0.8398668639053254,3.894337423152651e-05,0.008203617395787448
152,I5_20170807_1014_analytic_mosaic.tif,2017-08-07,20170807T101029_S2B_MSIL2A_20170807T101349_W022_10m_S2.tif,2017-08-07,0.0,0.7655325443786982,-1.2207221133790488e-06,0.07764833815004796
