,PS_filename,PS_Date,S2_filename,S2_Date,band,perc_valid,m,b,Area,PS_Sat
24,I5_20170514_1031_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,0,0.8587278106508875,2.5383215196873112e-05,-0.075551997578835,1,1031
25,I5_20170514_1031_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,1,0.8587278106508875,2.751321631056018e-05,-0.0608586088494161,1,1031
26,I5_20170514_1031_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,2,0.8587278106508875,3.318545936558257e-05,-0.0686864663542692,1,1031
27,I5_20170514_1031_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,3,0.8587278106508875,3.830476324025925e-05,-0.0098372999036682,1,1031
28,I5_20170514_1041_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,0,0.8642751479289941,2.504236045245316e-05,-0.067691081110371,1,1041
29,I5_20170514_1041_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,1,0.8642751479289941,2.7560536517671192e-05,-0.0560928181096356,1,1041
30,I5_20170514_1041_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,2,0.8642751479289941,3.299392812555078e-05,-0.0617541153429284,1,1041
31,I5_20170514_1041_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,3,0.8642751479289941,3.5925620249094726e-05,0.0175877186341811,1,1041
32,I5_20170514_0e20_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,0,0.7163461538461539,2.586450034186625e-05,-0.0730670831041603,1,0e20
33,I5_20170514_0e20_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,1,0.7163461538461539,2.8418790072390243e-05,-0.0630937271297974,1,0e20
34,I5_20170514_0e20_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,2,0.7163461538461539,3.54826217532378e-05,-0.0748006018256622,1,0e20
35,I5_20170514_0e20_analytic_mosaic.tif,2017-05-14,20170514T101031_S2A_MSIL2A_20170514T101125_W022_10m_S2.tif,2017-05-14,3,0.7163461538461539,4.386077541094059e-05,-0.0421671141060205,1,0e20
36,I5_20170602_0c54_analytic_mosaic.tif,2017-06-02,20170603T101031_S2A_MSIL2A_20170603T101026_W022_10m_S2.tif,2017-06-03,0,0.7585059171597633,8.613396304856015e-05,-0.1527972666099804,1,0c54
